# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock_all/unlock_all
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.67
2                       1.34
4                       2.70
8                       5.38
16                     10.75
32                     21.57
64                     43.04
128                    84.81
256                   163.72
512                   321.87
1024                  607.78
2048                 1090.59
4096                 1805.51
