# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.27
2                       0.52
4                       1.09
8                       2.06
16                      4.32
32                      8.44
64                     17.74
128                    33.32
256                    68.43
512                   132.14
1024                  263.79
2048                  484.60
4096                  906.30
