# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                       5.92
2                       5.77
4                       5.77
8                       5.78
16                      5.81
32                      5.82
64                      5.82
128                     5.81
256                     5.85
512                     5.86
1024                    5.93
2048                    6.20
4096                    6.84
8192                    7.97
16384                   9.25
32768                  11.47
65536                  14.00
131072                 19.28
262144                 30.03
524288                115.39
1048576               207.62
2097152               293.32
4194304               477.39
