# OSU MPI_Put-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       1.90
2                       3.92
4                       7.79
8                      15.61
16                     31.73
32                     62.67
64                    124.23
128                   247.65
256                   454.26
512                   894.80
1024                 1857.99
2048                 3708.75
4096                 7238.58
