# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                       3.92
2                       3.92
4                       3.90
8                       3.92
16                      3.90
32                      3.94
64                      3.94
128                     3.96
256                     4.01
512                     4.05
1024                    4.14
2048                    4.35
4096                    5.21
8192                    6.20
16384                   7.38
32768                   9.46
65536                  12.06
131072                 17.74
262144                 28.40
524288                120.03
1048576               217.97
2097152               298.87
4194304               476.44
