# OSU MPI_Put-CUDA Latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                       3.54
2                       3.47
4                       3.47
8                       3.49
16                      3.42
32                      3.48
64                      3.43
128                     3.50
256                     3.44
512                     3.45
1024                    3.48
2048                    3.75
4096                    4.07
8192                    4.74
16384                   6.40
32768                   8.30
65536                  10.98
131072                 16.27
262144                 27.19
