# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush_local
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                       3.63
2                       3.61
4                       3.62
8                       3.63
16                      3.64
32                      3.64
64                      3.64
128                     3.66
256                     3.72
512                     3.77
1024                    3.87
2048                    4.42
4096                    4.81
8192                    5.78
16384                   7.04
32768                   9.14
65536                  11.92
131072                 17.73
262144                 28.38
524288                121.68
1048576               221.63
2097152               303.04
4194304               483.74
