# OSU MPI_Put-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush_local
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       2.28
2                       4.64
4                       9.36
8                      18.81
16                     37.19
32                     74.18
64                    149.19
128                   291.44
256                   493.50
512                  1048.59
1024                 2100.22
2048                 3565.66
4096                 6662.42
