# OSU MPI_Put-CUDA Latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush_local
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                       0.73
2                       0.71
4                       0.72
8                       0.72
16                      0.73
32                      0.74
64                      0.73
128                     0.72
256                     2.16
512                     2.18
1024                    2.28
2048                    2.47
4096                    2.87
8192                    3.77
16384                   5.01
32768                   7.08
65536                   9.77
131072                 15.11
262144                 25.73
