# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      11.49
2                      11.45
4                      11.48
8                      11.51
16                     11.50
32                     11.57
64                     11.57
128                    11.59
256                    11.62
512                    11.61
1024                   11.72
2048                   11.91
4096                   12.82
8192                   13.80
16384                  15.17
32768                  17.21
65536                  19.67
131072                 25.38
262144                 35.99
524288                130.22
1048576               228.79
2097152               311.08
4194304               494.80
