# OSU MPI_Put-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock_all/unlock_all
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       1.76
2                       3.58
4                       6.88
8                      14.56
16                     28.95
32                     57.59
64                    114.90
128                   223.57
256                   400.96
512                   824.20
1024                 1650.52
2048                 2934.41
4096                 5570.61
