# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock/unlock
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      28.72
2                      28.47
4                      28.50
8                      28.56
16                     28.60
32                     28.57
64                     28.54
128                    28.60
256                    28.69
512                    28.68
1024                   28.81
2048                   29.67
4096                   30.00
8192                   31.52
16384                  33.44
32768                  36.68
65536                  42.02
131072                 53.59
262144                 78.08
524288                125.64
1048576               219.91
2097152               299.45
4194304               485.31
