# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_fence
# Size      Bandwidth (MB/s)
1                       1.96
2                       3.61
4                       7.02
8                      14.33
16                     28.14
32                     55.09
64                    110.11
128                   219.55
256                   440.65
512                   818.60
1024                 1733.01
2048                 3334.22
4096                 6888.19
8192                 9977.22
16384               11086.97
32768               11659.15
65536               11966.00
131072              12128.46
262144              12210.27
524288              12252.44
1048576             12272.70
2097152             12284.70
4194304             12289.59
