# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       3.49
2                       3.43
4                       3.42
8                       3.41
16                      3.41
32                      3.42
64                      3.41
128                     3.43
256                     3.40
512                     3.47
1024                    3.46
2048                    3.89
4096                    4.20
8192                    4.72
16384                   6.62
32768                   8.26
65536                  21.44
131072                 16.36
262144                 27.21
524288                 48.51
1048576                91.12
2097152               176.52
4194304               347.11
