# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush_local
# Size      Bandwidth (MB/s)
1                       2.52
2                       5.07
4                      10.13
8                      20.27
16                     40.58
32                     76.52
64                    152.92
128                   302.90
256                   470.07
512                  1020.67
1024                 2010.11
2048                 4121.45
4096                 8182.44
8192                11022.23
16384               11647.32
32768               11949.16
65536               12130.10
131072              12213.82
262144              12254.95
524288              12273.71
1048576             12285.29
2097152             12290.15
4194304             12292.79
