# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                      16.70
2                      16.83
4                      16.78
8                      16.97
16                     18.50
32                     18.18
64                     17.95
128                    17.42
256                    17.14
512                    17.15
1024                   17.53
2048                   17.26
4096                   18.10
8192                   19.74
16384                  20.26
32768                  22.40
65536                  25.18
131072                 30.99
262144                 43.39
524288                 66.27
1048576               116.53
2097152               215.28
4194304               403.71
