# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                      10.76
2                      10.73
4                      10.75
8                      10.75
16                     10.76
32                     10.75
64                     10.79
128                    10.77
256                    10.79
512                    10.82
1024                   10.81
2048                   11.18
4096                   11.64
8192                   12.06
16384                  14.05
32768                  15.99
65536                  35.68
131072                 24.13
262144                 34.79
524288                 56.19
1048576                98.80
2097152               184.22
4194304               354.79
