# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock_all/unlock_all
# Size      Bandwidth (MB/s)
1                       0.82
2                       1.65
4                       3.30
8                       6.61
16                     13.09
32                     25.82
64                     52.10
128                   101.91
256                   202.20
512                   393.25
1024                  737.51
2048                 1287.67
4096                 2078.80
8192                 3102.08
16384                4157.61
32768                5341.69
65536                7467.71
131072               9298.09
262144              10608.53
524288              11411.81
1048576             11452.02
2097152             11454.03
4194304             11423.58
