# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock_all/unlock_all
# Size          Latency (us)
1                      10.22
2                      10.39
4                      10.42
8                      10.47
16                     10.51
32                     10.49
64                     10.49
128                    10.49
256                    10.53
512                    10.60
1024                   10.67
2048                   11.51
4096                   11.54
8192                   12.37
16384                  13.74
32768                  15.95
65536                  18.46
131072                 23.57
262144                 34.29
524288                 55.58
1048576               101.15
2097152               192.59
4194304               374.97
