# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Size          Latency (us)
1                       5.60
2                       5.58
4                       5.56
8                       5.45
16                      5.49
32                      5.46
64                      5.49
128                     5.48
256                     5.52
512                     5.53
1024                    5.62
2048                    5.84
4096                    6.48
8192                    7.74
16384                   8.77
32768                  11.23
65536                  13.66
131072                 18.71
262144                 29.39
524288                 50.60
1048576                96.33
2097152               187.56
4194304               370.01
