# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_fence
# Size          Latency (us)
1                       6.03
2                       6.00
4                       6.01
8                       6.03
16                      6.03
32                      6.03
64                      6.03
128                     6.09
256                     6.14
512                     6.18
1024                    6.27
2048                    6.74
4096                    6.98
8192                    8.10
16384                   9.28
32768                  11.31
65536                  13.82
131072                 19.03
262144                 29.69
524288                 50.93
1048576                96.43
2097152               187.30
4194304               369.06
