# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_fence
# Size      Bandwidth (MB/s)
1                       1.77
2                       3.64
4                       7.12
8                      14.79
16                     28.21
32                     56.74
64                    110.85
128                   219.95
256                   404.49
512                   810.48
1024                 1745.18
2048                 2955.88
4096                 5621.80
8192                 9826.29
16384               11058.93
32768               11658.69
65536               11956.77
131072              12123.43
262144              12208.39
524288              12251.37
1048576             12274.20
2097152             12285.78
4194304             12290.96
