# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       2.26
2                       4.53
4                       9.13
8                      18.18
16                     31.67
32                     70.41
64                    140.06
128                   274.77
256                   488.88
512                   993.59
1024                 1982.18
2048                 3505.90
4096                 6482.86
8192                10656.59
16384               11451.93
32768               11883.01
65536               12086.25
131072              12190.19
262144              12241.75
524288              12269.02
1048576             12282.90
2097152             12289.50
4194304             12292.71
