# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       3.35
2                       3.29
4                       3.29
8                       3.30
16                      3.29
32                      3.30
64                      3.32
128                     3.34
256                     3.32
512                     3.35
1024                    3.35
2048                    3.89
4096                    4.14
8192                    4.61
16384                   6.49
32768                   8.40
65536                  11.10
131072                 16.25
262144                 27.18
524288                 48.48
1048576                91.14
2097152               176.44
4194304               346.87
