# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush_local
# Size      Bandwidth (MB/s)
1                       0.42
2                       0.84
4                       1.68
8                       3.36
16                      6.70
32                     13.39
64                     26.73
128                    52.99
256                   104.48
512                   206.70
1024                  400.84
2048                  742.47
4096                 1302.06
8192                 2149.74
16384                3218.76
32768                4598.71
65536                6681.89
131072               8636.96
262144              10164.25
524288              11139.41
1048576             11124.71
2097152             11093.59
4194304             11099.91
