# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush_local
# Size      Bandwidth (MB/s)
1                       2.33
2                       4.76
4                       9.34
8                      19.01
16                     37.79
32                     72.58
64                    142.58
128                   285.55
256                   530.78
512                  1071.85
1024                 2143.08
2048                 3609.20
4096                 6802.71
8192                11000.62
16384               11649.43
32768               11992.64
65536               12142.93
131072              12218.24
262144              12257.69
524288              12276.86
1048576             12286.59
2097152             12291.78
4194304             12293.78
