# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush_local
# Size          Latency (us)
1                       0.67
2                       0.66
4                       0.66
8                       0.65
16                      0.66
32                      0.66
64                      0.66
128                     0.68
256                     2.13
512                     2.17
1024                    2.25
2048                    2.44
4096                    2.85
8192                    3.76
16384                   5.00
32768                   7.07
65536                   9.75
131072                 15.11
262144                 25.72
524288                 47.04
1048576                89.70
2097152               174.99
4194304               345.57
