# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Size      Bandwidth (MB/s)
1                       0.38
2                       0.77
4                       1.54
8                       2.81
16                      6.13
32                     12.23
64                     24.43
128                    48.53
256                    95.93
512                   189.94
1024                  369.09
2048                  687.38
4096                 1217.86
8192                 2028.67
16384                3082.07
32768                4443.94
65536                6512.31
131072               8517.69
262144              10070.14
524288              11087.60
1048576             11120.41
2097152             11103.36
4194304             11127.63
