# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                       0.85
2                       1.70
4                       3.41
8                       6.80
16                     13.58
32                     27.03
64                     53.88
128                   105.95
256                   207.03
512                   403.64
1024                  761.21
2048                 1326.55
4096                 2119.59
8192                 3152.92
16384                4293.22
32768                5607.90
65536                7707.90
131072               9486.40
262144              10720.29
524288              11464.79
1048576             11473.65
2097152             11455.10
4194304             11458.13
