# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_post/start/complete/wait
# Size          Latency (us)
1                       5.66
2                       5.60
4                       5.60
8                       5.64
16                      5.67
32                      5.66
64                      5.67
128                     5.72
256                     5.75
512                     5.75
1024                    5.86
2048                    6.06
4096                    6.43
8192                    7.81
16384                   9.00
32768                  11.05
65536                  13.58
131072                 18.80
262144                 29.43
524288                 50.67
1048576                96.18
2097152               187.22
4194304               368.90
