# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_fence
# Size      Bandwidth (MB/s)
1                       1.28
2                       2.66
4                       5.35
8                      10.71
16                     21.29
32                     42.13
64                     85.95
128                   169.90
256                   334.32
512                   635.90
1024                 1178.47
2048                 2101.19
4096                 3500.72
8192                 5263.04
16384                7371.02
32768                9143.08
65536               10208.80
131072               9133.32
262144               6744.09
524288               4539.80
1048576             10443.38
2097152             11409.09
4194304             11383.45
