# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       1.35
2                       2.81
4                       5.56
8                      11.22
16                     22.40
32                     44.95
64                     90.11
128                   177.94
256                   349.60
512                   662.82
1024                 1227.14
2048                 2150.29
4096                 3586.96
8192                 5501.74
16384                7508.98
32768                9056.87
65536                9985.10
131072              10508.37
262144              10083.65
524288              10938.54
1048576             10166.30
2097152             11057.66
4194304             11187.31
