# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush_local
# Size          Latency (us)
1                       1.56
2                       1.57
4                       1.56
8                       1.56
16                      1.58
32                      1.59
64                      1.63
128                     1.63
256                     1.84
512                     1.88
1024                    1.99
2048                    2.22
4096                    2.78
8192                    3.71
16384                   5.50
32768                   7.65
65536                  10.13
131072                 15.42
262144                 26.93
524288                 47.71
1048576                90.30
2097152               175.11
4194304               348.19
