# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock/unlock
# Size      Bandwidth (MB/s)
1                       1.18
2                       2.45
4                       4.95
8                       9.82
16                     19.56
32                     39.34
64                     79.17
128                   156.26
256                   306.77
512                   590.43
1024                 1099.82
2048                 1954.04
4096                 3316.56
8192                 5079.95
16384                7212.88
32768                8955.49
65536               10158.83
131072              10630.55
262144              10496.00
524288              10908.24
1048576             10315.34
2097152             11284.15
4194304             11444.20
