# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                      12.01
2                      11.94
4                      11.99
8                      12.04
16                     12.03
32                     12.10
64                     12.04
128                    12.03
256                    12.16
512                    12.29
1024                   12.62
2048                   13.11
4096                   13.75
8192                   15.25
16384                  17.43
32768                  21.59
65536                  28.25
131072                 41.88
262144                 70.58
524288                125.11
1048576               239.02
2097152               322.38
4194304               496.35
