# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock_all/unlock_all
# Size      Bandwidth (MB/s)
1                       1.18
2                       2.47
4                       4.99
8                       9.89
16                     19.62
32                     39.80
64                     80.13
128                   158.81
256                   312.20
512                   596.64
1024                 1099.81
2048                 1976.34
4096                 3316.12
8192                 5126.49
16384                7284.23
32768                9080.30
65536               10308.07
131072               9090.48
262144              10837.85
524288              11100.99
1048576             10045.23
2097152             11009.89
4194304             11214.13
