# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock_all/unlock_all
# Size          Latency (us)
1                      12.08
2                      11.97
4                      12.01
8                      12.05
16                     12.08
32                     12.11
64                     12.09
128                    12.09
256                    12.17
512                    12.26
1024                   12.43
2048                   13.25
4096                   13.88
8192                   15.42
16384                  17.52
32768                  21.74
65536                  28.41
131072                 41.75
262144                 69.73
524288                123.31
1048576               228.04
2097152               316.86
4194304               490.79
