# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock_all/unlock_all
# Size      Bandwidth (MB/s)
1                       2.05
2                       4.17
4                       8.37
8                      16.50
16                     32.99
32                     65.84
64                    128.51
128                   255.05
256                   521.62
512                  1015.49
1024                 1955.68
2048                 3640.79
4096                 5966.68
8192                 7895.34
16384                8469.82
32768                9825.49
65536               10813.86
131072              11264.14
262144              10771.83
524288              11023.49
1048576             11164.74
2097152             10975.42
4194304             11239.61
