# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                       2.23
2                       4.43
4                       9.04
8                      17.86
16                     35.71
32                     68.58
64                    139.66
128                   258.32
256                   558.68
512                  1028.01
1024                 2059.83
2048                 3467.80
4096                 5473.57
8192                 7388.64
16384                8186.66
32768                9590.47
65536               10024.42
131072              10318.31
262144               9700.52
524288               9959.71
1048576             10083.74
2097152             10256.12
4194304             10450.97
