# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_post/start/complete/wait
# Size          Latency (us)
1                       4.85
2                       4.82
4                       4.78
8                       4.79
16                      4.76
32                      4.77
64                      4.80
128                     4.83
256                     4.95
512                     5.07
1024                    5.24
2048                    5.95
4096                    6.36
8192                    7.91
16384                  10.00
32768                  12.51
65536                  15.46
131072                 21.69
262144                 34.35
524288                 57.54
1048576               102.79
2097152               192.24
4194304               371.29
