# OSU MPI-CUDA Bandwidth Test v5.6.2
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.09
2                       0.18
4                       0.36
8                       0.72
16                      1.45
32                      2.90
64                      5.81
128                    11.61
256                    23.22
512                    46.44
1024                   92.92
2048                  185.88
4096                  371.89
8192                  743.31
16384                1483.47
32768                2932.64
65536                5857.64
131072              11882.17
262144              24503.98
524288              32325.34
1048576             38291.16
2097152             42242.81
4194304             44520.53
