# OSU MPI-CUDA Latency Test v5.6.2
# Send Buffer on DEVICE (D) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       0.28
1                      17.30
2                      17.26
4                      17.25
8                      17.24
16                     17.24
32                     17.26
64                     17.25
128                    17.26
256                    17.26
512                    17.26
1024                   17.24
2048                   17.24
4096                   17.23
8192                   17.30
16384                  17.28
32768                  17.47
65536                  18.18
131072                 19.48
262144                 22.24
524288                 27.94
1048576                38.97
2097152                61.28
4194304               106.31
