# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       0.27
1                       0.34
2                       0.34
4                       0.34
8                       0.34
16                      0.35
32                      0.36
64                      0.36
128                     0.37
256                     0.43
512                     0.47
1024                    0.57
2048                    0.70
4096                    0.85
8192                    1.07
16384                   3.09
32768                   3.53
65536                   4.40
131072                  7.31
262144                 12.03
524288                 20.16
1048576                36.37
2097152                75.27
4194304               242.55
