# OSU MPI-CUDA Bandwidth Test v5.6.2
# Send Buffer on DEVICE (D) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.55
2                       1.10
4                       2.20
8                       4.39
16                      8.77
32                     17.48
64                     34.87
128                    69.11
256                   133.96
512                   263.79
1024                  502.32
2048                  918.50
4096                 1562.39
8192                 2282.17
16384                3437.87
32768                4787.84
65536                6899.00
131072               8597.17
262144              10134.06
524288              10772.92
1048576             11179.67
2097152             11832.96
4194304             11995.76
