# OSU MPI-CUDA Latency Test v5.6.2
# Send Buffer on DEVICE (D) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       1.66
1                      15.10
2                      15.09
4                      15.15
8                      15.12
16                     15.13
32                     15.14
64                     15.19
128                    15.21
256                    15.56
512                    15.69
1024                   16.01
2048                   16.76
4096                   17.24
8192                   18.76
16384                  30.32
32768                  43.45
65536                  66.68
131072                 22.01
262144                 32.55
524288                119.01
1048576               212.90
2097152               299.53
4194304               483.86
