# OSU MPI-CUDA Bandwidth Test v5.6.2
# Send Buffer on HOST (H) and Receive Buffer on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.05
2                       0.10
4                       0.20
8                       0.40
16                      0.79
32                      1.58
64                      3.16
128                     6.32
256                    12.53
512                    25.05
1024                   49.81
2048                   99.16
4096                  195.73
8192                  366.69
16384                 377.71
32768                 489.70
65536                 586.30
131072               9352.55
262144              10639.90
524288              11903.22
1048576             12021.49
2097152             12180.93
4194304             12257.78
