# OSU MPI-CUDA Latency Test v5.6.2
# Send Buffer on HOST (H) and Receive Buffer on DEVICE (D)
# Size          Latency (us)
0                       1.19
1                      13.88
2                      13.77
4                      13.80
8                      13.78
16                     13.80
32                     13.81
64                     13.87
128                    13.91
256                    14.23
512                    14.31
1024                   14.47
2048                   15.31
4096                   15.66
8192                   17.12
16384                  28.81
32768                  42.04
65536                  65.29
131072                 19.27
262144                 29.86
524288                195.17
1048576               362.02
2097152               501.53
4194304               758.54
