# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       3.16
2                       6.14
4                      12.68
8                      24.94
16                     48.08
32                     95.82
64                    190.38
128                   368.21
256                   548.49
512                  1034.66
1024                 1926.69
2048                 3275.32
4096                 5285.12
8192                 7139.84
16384                8311.24
32768                9521.12
65536               10569.39
131072               9419.91
262144              10681.85
524288              11455.10
1048576             11495.62
2097152             11517.68
4194304             11529.41
